始发地,目的地,航空公司,航班号,始发机场,到达机场,起飞时间,到达时间,机票价格,数据来源,日期
北京,广州,中国国航,CA1321,首都国际机场,白云国际机场,09:00,12:25,350,携程,20200705
北京,广州,南方航空,CZ3000,首都国际机场,白云国际机场,09:30,12:50,270,携程,20200705
北京,广州,中国国航,CA1315,首都国际机场,白云国际机场,11:00,14:20,320,携程,20200705
北京,广州,天津航空,GS5807,首都国际机场,白云国际机场,11:45,15:20,970,携程,20200705
北京,广州,海南航空,HU7807,首都国际机场,白云国际机场,11:45,15:20,225,携程,20200705
北京,广州,中国联合航空,KN5897,大兴国际机场,白云国际机场,12:15,15:40,389,携程,20200705
北京,广州,中国国航,CA1327,首都国际机场,白云国际机场,14:00,17:25,270,携程,20200705
北京,广州,南方航空,CZ3104,首都国际机场,白云国际机场,15:30,18:55,270,携程,20200705
北京,广州,东方航空,MU5281,首都国际机场,白云国际机场,16:15,19:35,255,携程,20200705
北京,广州,中国国航,CA1309,首都国际机场,白云国际机场,18:00,21:05,270,携程,20200705
北京,广州,南方航空,CZ3100,首都国际机场,白云国际机场,18:30,21:35,270,携程,20200705
北京,广州,中国联合航空,KN5829,大兴国际机场,白云国际机场,07:30,13:00,687,携程,20200705
北京,广州,厦门航空,MF1000,首都国际机场,白云国际机场,09:30,12:50,1370,携程,20200705
北京,广州,厦门航空,MF1006,首都国际机场,白云国际机场,15:30,18:55,1370,携程,20200705
北京,广州,厦门航空,MF1002,首都国际机场,白云国际机场,18:30,21:35,1370,携程,20200705
北京,广州,东方航空,MU5181,首都国际机场,白云国际机场,07:15,10:35,235,携程,20200706
北京,广州,中国国航,CA1321,首都国际机场,白云国际机场,09:00,12:25,350,携程,20200706
北京,广州,南方航空,CZ3000,首都国际机场,白云国际机场,09:30,13:00,270,携程,20200706
北京,广州,中国国航,CA1315,首都国际机场,白云国际机场,11:00,14:20,320,携程,20200706
北京,广州,海南航空,HU7807,首都国际机场,白云国际机场,11:45,15:20,315,携程,20200706
北京,广州,天津航空,GS5807,首都国际机场,白云国际机场,11:45,15:20,970,携程,20200706
北京,广州,中国联合航空,KN5897,大兴国际机场,白云国际机场,12:15,15:40,228,携程,20200706
北京,广州,中国国航,CA1327,首都国际机场,白云国际机场,14:00,17:25,270,携程,20200706
北京,广州,南方航空,CZ3104,首都国际机场,白云国际机场,15:30,19:05,270,携程,20200706
北京,广州,东方航空,MU5281,首都国际机场,白云国际机场,16:15,19:35,255,携程,20200706
北京,广州,中国国航,CA1309,首都国际机场,白云国际机场,18:00,21:05,270,携程,20200706
北京,广州,南方航空,CZ3100,首都国际机场,白云国际机场,18:30,21:35,270,携程,20200706
